--- Step: Moving Down ---
11211, 16893, 11171, 10977, 11242, 97, 63, 99, 71, 69, 11881, 17428, 11846, 11808, 11623, 109, 69, 107, 78, 73, 10834, 16079, 10702, 10721, 10904, 92, 63, 96, 65, 66, 10793, 15974, 10688, 10670, 10913, 93, 63, 98, 66, 72, 10878, 16272, 10815, 10843, 10998, 96, 62, 94, 71, 63, 514, 834, 441, 426, 425, 5, 2, 4, 4, 9, 493, 720, 442, 431, 436, 4, 4, 2, 7, 9, 933, 1403, 858, 837, 833, 9, 4, 8, 8, 7, 262, 289, 212, 206, 205, 7, 2, 2, 2, 7, 181, 235, 234, 220, 219, 4, 9, 4, 2, 5, 850, 1365, 840, 828, 826, 9, 7, 10, 6, 8, 30, 69, 9, 5, 12, 3, 4, 2, 4, 3
11140, 16893, 11180, 10977, 11247, 97, 70, 99, 67, 69, 11786, 17428, 11852, 11808, 11622, 109, 76, 107, 70, 73, 10763, 16079, 10706, 10721, 10905, 92, 72, 96, 60, 66, 10767, 15974, 10696, 10670, 10911, 93, 74, 98, 70, 72, 10761, 16272, 10817, 10843, 11008, 96, 66, 94, 65, 63, 416, 834, 443, 426, 433, 5, 7, 4, 2, 9, 426, 720, 442, 431, 444, 4, 8, 2, 5, 9, 827, 1403, 853, 837, 825, 9, 11, 8, 2, 7, 220, 289, 212, 206, 206, 7, 3, 2, 2, 7, 181, 235, 234, 220, 219, 4, 9, 4, 2, 5, 850, 1365, 840, 828, 826, 9, 7, 10, 6, 8, 30, 69, 9, 5, 12, 3, 4, 2, 4, 3
11140, 16852, 11180, 10990, 11247, 100, 70, 108, 67, 63, 11786, 17417, 11852, 11812, 11622, 106, 76, 117, 70, 60, 10763, 15991, 10706, 10726, 10905, 96, 72, 104, 60, 61, 10767, 15898, 10696, 10680, 10911, 100, 74, 105, 70, 58, 10761, 16211, 10817, 10850, 11008, 92, 66, 101, 65, 56, 416, 685, 443, 432, 433, 6, 7, 10, 2, 2, 426, 723, 442, 444, 444, 5, 8, 9, 5, 8, 827, 1241, 853, 841, 825, 8, 11, 10, 2, 7, 220, 275, 212, 203, 206, 5, 3, 10, 2, 4, 181, 157, 234, 232, 219, 3, 9, 12, 2, 1, 850, 1322, 840, 836, 826, 6, 7, 15, 6, 5, 30, 3, 9, 8, 12, 2, 4, 2, 4, 4
11150, 16852, 11183, 10990, 11239, 100, 72, 108, 71, 63, 11818, 17417, 11848, 11812, 11613, 106, 77, 117, 74, 60, 10813, 15991, 10710, 10726, 10895, 96, 71, 104, 65, 61, 10775, 15898, 10693, 10680, 10901, 100, 70, 105, 63, 58, 10832, 16211, 10815, 10850, 10994, 92, 68, 101, 64, 56, 481, 685, 444, 432, 424, 6, 8, 10, 4, 2, 509, 723, 446, 444, 437, 5, 10, 9, 1, 8, 878, 1241, 849, 841, 820, 8, 11, 10, 2, 7, 202, 275, 206, 203, 192, 5, 7, 10, 2, 4, 229, 157, 238, 232, 210, 3, 7, 12, 2, 1, 886, 1322, 837, 836, 816, 6, 13, 15, 6, 5, 29, 3, 8, 8, 3, 2, 1, 2, 7, 4
11150, 16852, 11183, 10990, 11239, 100, 72, 108, 71, 63, 11818, 17417, 11848, 11812, 11613, 106, 77, 104, 74, 65, 10813, 15893, 10710, 10717, 10895, 93, 71, 99, 65, 59, 10775, 15862, 10693, 10673, 10901, 96, 70, 98, 63, 59, 10832, 16120, 10815, 10843, 10994, 93, 68, 96, 64, 53, 481, 644, 444, 432, 424, 6, 8, 6, 4, 1, 509, 607, 446, 432, 437, 3, 10, 6, 1, 4, 878, 1197, 849, 839, 820, 8, 11, 4, 2, 2, 202, 243, 206, 199, 192, 8, 7, 1, 2, 2, 229, 93, 238, 226, 210, 4, 7, 6, 2, 1, 886, 1173, 837, 837, 816, 9, 13, 5, 6, 6, 29, 40, 8, 10, 3, 3, 1, 3, 7, 1
11150, 16748, 11183, 10981, 11239, 91, 72, 98, 71, 58, 11818, 17293, 11848, 11801, 11613, 97, 77, 104, 74, 65, 10813, 15893, 10710, 10717, 10895, 93, 71, 99, 65, 59, 10775, 15862, 10693, 10673, 10901, 96, 70, 98, 63, 59, 10832, 16120, 10815, 10843, 10994, 93, 68, 96, 64, 53, 481, 644, 444, 432, 424, 6, 8, 6, 4, 1, 509, 607, 446, 432, 437, 3, 10, 6, 1, 4, 785, 1197, 851, 839, 835, 8, 2, 4, 1, 2, 171, 243, 202, 199, 200, 8, 7, 1, 2, 2, 160, 93, 231, 226, 207, 4, 5, 6, 1, 1, 772, 1173, 832, 837, 818, 9, 2, 5, 6, 6, 60, 40, 10, 10, 8, 3, 3, 3, 4, 1
11075, 16748, 11179, 10981, 11243, 91, 65, 98, 65, 58, 11706, 17293, 11845, 11801, 11622, 97, 70, 104, 69, 65, 10691, 15893, 10708, 10717, 10902, 93, 66, 99, 61, 59, 10704, 15862, 10691, 10673, 10901, 96, 65, 98, 61, 59, 10726, 16120, 10818, 10843, 10995, 93, 66, 96, 62, 53, 362, 644, 439, 432, 433, 6, 7, 6, 4, 1, 389, 607, 443, 432, 433, 3, 2, 6, 6, 4, 785, 1197, 851, 839, 835, 8, 2, 4, 1, 2, 171, 243, 202, 199, 200, 8, 7, 1, 2, 2, 160, 93, 231, 226, 207, 4, 5, 6, 1, 1, 772, 1173, 832, 837, 818, 9, 2, 5, 6, 6, 60, 40, 10, 2, 8, 4, 3, 2, 4, 3
11075, 16890, 11179, 10987, 11243, 94, 65, 108, 65, 62, 11706, 17447, 11845, 11810, 11622, 102, 70, 110, 69, 65, 10691, 16012, 10708, 10721, 10902, 91, 66, 101, 61, 61, 10704, 16013, 10691, 10675, 10901, 88, 65, 102, 61, 59, 10726, 16349, 10818, 10843, 10995, 95, 66, 102, 62, 57, 362, 742, 439, 428, 433, 22, 7, 12, 4, 5, 389, 779, 443, 430, 433, 16, 2, 9, 6, 2, 785, 1294, 851, 838, 835, 13, 2, 9, 1, 4, 171, 370, 202, 201, 200, 9, 7, 7, 2, 5, 160, 240, 231, 217, 207, 5, 5, 5, 1, 2, 772, 1313, 832, 833, 818, 19, 2, 9, 6, 3, 60, 62, 10, 2, 8, 4, 3, 2, 4, 3
11165, 16890, 11170, 10987, 11241, 94, 76, 108, 77, 62, 11902, 17447, 11847, 11810, 11617, 102, 72, 110, 80, 65, 10840, 16012, 10702, 10721, 10896, 91, 71, 101, 72, 61, 10821, 16013, 10697, 10675, 10906, 88, 69, 102, 67, 59, 10871, 16349, 10812, 10843, 10996, 95, 71, 102, 70, 57, 497, 742, 435, 428, 428, 22, 2, 12, 13, 5, 502, 779, 441, 430, 437, 16, 3, 9, 12, 2, 885, 1294, 851, 838, 835, 13, 2, 9, 17, 4, 229, 370, 206, 201, 204, 9, 4, 7, 10, 5, 223, 240, 234, 217, 211, 5, 3, 5, 9, 2, 882, 1313, 829, 833, 815, 19, 7, 9, 13, 3, 62, 62, 2, 2, 1, 4, 2, 2, 4, 3
11165, 16890, 11170, 10987, 11241, 86, 76, 101, 77, 60, 11902, 17307, 11847, 11812, 11617, 88, 72, 116, 80, 61, 10840, 15847, 10702, 10718, 10896, 81, 71, 104, 72, 57, 10821, 15889, 10697, 10675, 10906, 82, 69, 98, 67, 61, 10871, 16107, 10812, 10845, 10996, 84, 71, 97, 70, 65, 497, 626, 435, 429, 428, 6, 2, 12, 13, 2, 502, 640, 441, 431, 437, 7, 3, 4, 12, 5, 885, 1272, 851, 841, 835, 3, 2, 10, 17, 6, 229, 239, 206, 204, 204, 4, 4, 5, 10, 2, 223, 132, 234, 225, 211, 2, 3, 9, 9, 4, 882, 1273, 829, 833, 815, 7, 7, 10, 13, 6, 62, 11, 2, 5, 1, 3, 2, 4, 4, 3
11165, 16719, 11170, 10988, 11241, 86, 76, 101, 77, 60, 11902, 17307, 11847, 11812, 11617, 88, 72, 116, 80, 61, 10840, 15847, 10702, 10718, 10896, 81, 71, 104, 72, 57, 10821, 15889, 10697, 10675, 10906, 82, 69, 98, 67, 61, 10871, 16107, 10812, 10845, 10996, 84, 71, 97, 70, 65, 497, 626, 435, 429, 421, 6, 3, 12, 8, 2, 480, 640, 439, 431, 433, 7, 4, 4, 8, 5, 906, 1272, 848, 841, 824, 3, 3, 10, 7, 6, 220, 239, 205, 204, 195, 4, 6, 5, 7, 2, 225, 132, 240, 225, 209, 2, 5, 9, 8, 4, 901, 1273, 838, 833, 816, 7, 6, 10, 7, 6, 33, 11, 10, 5, 11, 3, 6, 4, 5, 3
11209, 16719, 11172, 10988, 11239, 86, 59, 101, 71, 60, 11911, 17307, 11842, 11812, 11616, 88, 58, 116, 79, 61, 10862, 15847, 10701, 10718, 10889, 81, 54, 104, 75, 57, 10800, 15889, 10691, 10675, 10905, 82, 52, 98, 69, 61, 10911, 16107, 10810, 10845, 10998, 84, 54, 97, 68, 65, 455, 626, 437, 429, 421, 6, 3, 12, 8, 2, 480, 640, 439, 431, 433, 7, 4, 4, 8, 5, 906, 1272, 848, 841, 824, 3, 3, 10, 7, 6, 220, 239, 205, 204, 195, 4, 6, 5, 7, 2, 225, 132, 240, 225, 209, 2, 5, 9, 8, 4, 901, 1273, 838, 829, 816, 9, 6, 9, 7, 7, 33, 125, 10, 11, 11, 2, 6, 6, 5, 2
11209, 16912, 11172, 10982, 11239, 92, 59, 97, 71, 68, 11911, 17454, 11842, 11806, 11616, 95, 58, 102, 79, 68, 10862, 16013, 10701, 10723, 10889, 82, 54, 97, 75, 59, 10800, 15972, 10691, 10680, 10905, 85, 52, 92, 69, 65, 10911, 16322, 10810, 10833, 10998, 89, 54, 92, 68, 63, 455, 692, 437, 421, 421, 5, 3, 10, 8, 8, 480, 787, 439, 433, 433, 6, 4, 7, 8, 3, 906, 1338, 848, 839, 824, 8, 3, 7, 7, 7, 220, 377, 205, 195, 195, 7, 6, 3, 7, 4, 225, 284, 240, 212, 209, 4, 5, 7, 8, 5, 901, 1292, 838, 829, 816, 9, 6, 9, 7, 7, 33, 125, 10, 11, 11, 2, 6, 6, 5, 2
11201, 16912, 11176, 10982, 11235, 92, 72, 97, 66, 68, 11911, 17454, 11845, 11806, 11612, 95, 73, 102, 64, 68, 10875, 16013, 10703, 10723, 10890, 82, 69, 97, 61, 59, 10821, 15972, 10693, 10680, 10902, 85, 70, 92, 61, 65, 10890, 16322, 10815, 10833, 10990, 89, 74, 92, 61, 63, 463, 692, 431, 421, 418, 5, 10, 10, 7, 8, 467, 787, 447, 433, 434, 6, 12, 7, 1, 3, 921, 1338, 859, 839, 826, 8, 7, 7, 4, 7, 221, 377, 203, 195, 195, 7, 10, 3, 1, 4, 241, 284, 228, 212, 198, 4, 15, 7, 1, 5, 884, 1292, 830, 829, 809, 9, 16, 9, 3, 7, 27, 125, 4, 11, 10, 2, 3, 6, 4, 2
11201, 16837, 11176, 10984, 11235, 86, 72, 104, 66, 58, 11911, 17438, 11845, 11806, 11612, 95, 73, 114, 64, 59, 10875, 16057, 10703, 10722, 10890, 84, 69, 106, 61, 53, 10821, 15932, 10693, 10681, 10902, 81, 70, 106, 61, 55, 10890, 16242, 10815, 10845, 10990, 85, 74, 102, 61, 55, 463, 792, 431, 427, 418, 4, 10, 6, 7, 5, 467, 746, 447, 439, 434, 7, 12, 6, 1, 5, 921, 1366, 859, 845, 826, 4, 7, 12, 4, 5, 221, 337, 203, 202, 195, 4, 10, 10, 1, 1, 241, 164, 228, 219, 198, 5, 15, 11, 1, 1, 884, 1275, 830, 829, 809, 9, 16, 10, 3, 3, 27, 36, 4, 5, 10, 4, 3, 4, 4, 2
